کد نماد	گروه	گروه های صنعت	تابلو	نماد	نام لاتین	نماد	نام
IRO1TKNO0001	N2	ماشين آلات و تجهيزات	فهرست اوليه	TKNO1	Technotar	تكنو	تكنوتار
IRR1TKNO0101	N2	ماشين آلات و تجهيزات	فهرست اوليه	TKNX1	Technotar-R	تكنوح	ح . تكنوتار
IRO1MNMH0001	N2	ماشين آلات و تجهيزات	فهرست اوليه	MNMH1	Niromohareke M.	تمحركه	ماشين‌سازي‌نيرومحركه‌
IRR1MNMH0101	N2	ماشين آلات و تجهيزات	فهرست اوليه	MNMX1	Niromohareke M.-R	تمحركهح	ح . ماشين‌سازي‌نيرومحركه‌
IRO1TMDN0001	N2	فعاليتهاي كمكي به نهادهاي مالي واسط	فهرست اوليه	TMDN1	Tamadon Investment	تمدن	تامين سرمايه تمدن
IRO1TMLT0001	N1	فعاليتهاي كمكي به نهادهاي مالي واسط	تابلو فرعي	TMLT1	Mellat Inv. Bank	تملت	تامين سرمايه بانك ملت
IRR1TMLT0101	N1	فعاليتهاي كمكي به نهادهاي مالي واسط	تابلو فرعي	TMLX1	Mellat Inv. Bank-R	تملتح	ح . تامين سرمايه بانك ملت
IRO1TNOV0001	N2	فعاليتهاي كمكي به نهادهاي مالي واسط	فهرست اوليه	TNOV1	S*Novin Investment	تنوين	تامين سرمايه نوين
IRR1TNOV0101	N2	فعاليتهاي كمكي به نهادهاي مالي واسط	فهرست اوليه	TNOX1	S*Novin Invest-R	تنوينح	ح . تامين سرمايه نوين
IRO1DTIP0001	N1	مواد و محصولات دارويي	تابلو فرعي	DTIP1	Tamin Daroo	تيپيكو	سرمايه گذاري دارويي تامين
IRR1DTIP0101	N1	مواد و محصولات دارويي	تابلو فرعي	DTIX1	Tamin Daroo-R	تيپيكوح	ح . سرمايه گذاري دارويي تامين
IRO1ABAD0001	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	ABAD1	Abadgaran	ثاباد	توريستي ورفاهي آبادگران ايران
IRR1ABAD0101	N1	انبوه سازي، املاك و مستغلات	تابلو فرعي	ABAX1	Abadgaran-R	ثابادح	ح . ‌توريستي‌ورفاهي‌آبادگران‌
IRO1BSTE0001	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	BSTE1	Int. Const.	ثاخت	بين‌المللي‌توسعه‌ساختمان
IRR1BSTE0101	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	BSTX1	Int. Const.-R	ثاختح	ح . بين‌المللي‌توسعه‌ساختمان
IRO1SAJN0001	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	SAJN1	Sakht Ajand	ثاژن	سخت‌ آژند
IRR1SAJN0101	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	SAJX1	Sakht Ajand-R	ثاژنح	ح . سخت‌ آژند
IRO1SESF0001	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	SESF1	Isfahan Const.	ثاصفا	ساختمان‌ اصفهان‌
IRR1SESF0101	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	SESX1	Isfahan Const.-R	ثاصفاح	ح . ‌ ساختمان‌ اصفهان‌
IRO1SGOS0001	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	SGOS1	Saman Gostar	ثامان	سامان‌ گستراصفهان‌
IRR1SGOS0101	N1	انبوه سازي، املاك و مستغلات	تابلو فرعي	SGOX1	Saman Gostar-R	ثامانح	ح . سامان‌ گستراصفهان‌
IRO1TOOM0001	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	TOOM1	Omid Con. & Dev.	ثاميد	توسعه و عمران اميد
IRO1BEKA0001	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	BEKA1	Behsaz K Tehran	ثبهساز	بهساز كاشانه تهران
IRO1SAHD0001	N1	انبوه سازي، املاك و مستغلات	تابلو اصلي	SAHD1	Shahed Inv.	ثشاهد	سرمايه‌ گذاري‌ شاهد
IRR1SAHD0101	N1	انبوه سازي، املاك و مستغلات	تابلو اصلي	SAHX1	Shahed Inv.-R	ثشاهدح	ح . سرمايه‌ گذاري‌ شاهد
IRO1PMSZ0001	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	PMSZ1	Maskan Invest.	ثشرق	سرمايه گذاري مسكن شمال شرق
IRR1PMSZ0101	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	PMSX1	Maskan Invest.-R	ثشرقح	ح. سرمايه گذاري مسكن شمال شرق
IRO1OFRS0001	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	OFRS1	Fars Dev.	ثفارس	عمران‌وتوسعه‌فارس‌
IRR1OFRS0101	N2	انبوه سازي، املاك و مستغلات	تابلو فرعي	OFRX1	Fars Dev.-R	ثفارسح	ح . عمران‌وتوسعه‌فارس‌
IRO1MSKN0001	N1	انبوه سازي، املاك و مستغلات	تابلو اصلي	MSKN1	Housing Inv.	ثمسكن	سرمايه‌گذاري‌ مسكن‌
IRR1MSKN0101	N1	انبوه سازي، املاك و مستغلات	تابلو اصلي	MSKX1	Housing Inv.-R	ثمسكنح	ح . سرمايه‌گذاري‌ مسكن‌
IRO1BMLI0001	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	BMLI1	Melli Industry	ثملي	بين المللي ساختمان و صنعت ملي
IRO1NSTH0001	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	NSTH1	S*Tehran Const.	ثنوسا	نوسازي‌وساختمان‌تهران‌
IRR1NSTH0101	N2	انبوه سازي، املاك و مستغلات	فهرست اوليه	NSTX1	Tehran Const.-R	ثنوساح	ح . نوسازي‌وساختمان‌تهران‌
IRO1PJMZ0001	N2	محصولات شيميايي	فهرست اوليه	PJMZ1	Jam Petr.	جم	پتروشيمي جم
IRO1JPPC0001	N2	محصولات شيميايي	فهرست اوليه	JPPC1	Jam Pilen	جم پيلن	پلي پروپيلن جم - جم پيلن
